ID;NAME;ORGANISATION;BERUF;PSEUDONYM;ANMERKUNGEN;GND;Geburtsdatum;Sterbedatum
1;Aachen, Maria Johanne Catharine Erike Elisabeth von;False;Text;;;;1755;1845
2;Abbt, Thomas;False;Text;;;;1738;1766
3;Abeille, Johann Christ. Ludwig;False;Musik;;;;1761;1838
4;Abeken, Bernhard Rudolph;False;Text;;;;1780;1866
5;Abel, Gottlieb Friedrich;False;Graphik;;;;1768;
6;Abramson, Abraham;False;Graphik;;;;1754;1811
7;Abresch, Franz;False;Graphik;;;;;
8;Abschatz, Hans Aßmann von;False;Text;;;;1646;1699
9;Ackermann, Johann Adam;False;Graphik;;;;1780;1853
10;Adam, Albrecht;False;Graphik;;;;1786;1862
11;Adam, Jakob;False;Graphik;;;;1748;1811
12;Adam, Jean Nicolas;False;Graphik;;;;1786;1840
13;Adami, Heinrich Friedrich Wilhelm;False;Text;;;;1778;1826
14;Adams, Lucy;False;Graphik;;;;e. 1815;1843
15;Adcock, G.;False;Graphik;;;;e. 1800;1830
16;Adrian, Johann Valentin;False;Text u. Hrsg;;;;1793;1864
17;Aertsen, Pieter;False;Graphik;;;;1508;1575
18;Afsprung, Johann Michael;False;Text;;;;1748;1808
19;Agricola, Karl Joseph Aloys;False;Graphik;;;;1779;1852
20;Ahlefeld, Charlotte Louise von;False;Text;Natalie;;;1781;1849
21;Ahlwardt, Christian Wilhelm;False;Text;;;;1760;1830
22;Aischylos;False;Text;;;;525;456 v. Chr.
23;Aken, Johann von;False;Graphik;;;;1552;1615
24;Albani, Francesco;False;Graphik;;;;1578;1660
25;Albrecht, Sophie;False;Text;;;;1757;1841
26;Albrier, Joseph;False;Graphik;;;;1791;1863
27;Alexander, William;False;Graphik;;;;1767;1816
28;Allan, William;False;Graphik;;;;1782;1850
29;Allemand, Conrad L.;False;Graphik;;;;1809;1880
30;Allemand, Fritz L';False;Graphik;;;;1812;1866
31;Allgeyer, Julius;False;Graphik;;;;1829;1900
