"Wien; Preßburg";2293;
<KEINE ORTSANGABE>;"3661;4314;4183;2593;2570;2571;2572;2575;2576;2577;2579;2580;2585;2625;2590;2567;2595;2596;2597;2598;2599;2603;2604;2612;2542;2589;2557;2871;2544;2547;2549;2550;2551;2552;2553;2554;2569;2556;2568;2558;2559;2560;2561;2562;2563;2564;2565;2566;2626;2555;2816;2729;2743;2748;2749;2750;2759;2760;2761;2762;2613;2813;2716;2821;2834;2835;2837;2841;2858;2864;2868;2870;2763;2667;2627;2630;2635;2636;2638;2660;2662;2663;2664;2728;2666;2725;2680;2681;2690;2697;2698;2701;2710;2711;2714;2541;2665;2298;2219;2220;2221;2222;2227;2246;2252;2256;2278;2327;2292;2213;2313;2315;2316;2317;2318;2320;2321;2322;2543;2291;2107;1999;2014;2015;2016;2018;2022;2037;2038;2050;2217;2106;2215;2108;2110;2111;2126;2160;2176;2182;2195;2201;2328;2056;2529;2515;2516;2519;2520;2522;2523;2524;2525;2526;2326;2528;2508;2530;2531;2532;2533;2534;2535;2536;2537;2538;2527;2497;2330;2336;2342;2344;2348;2456;2457;2458;2493;2514;2496;2510;2498;2499;2500;2501;2502;2503;2504;2505;2506;2548;2494;2983;3024;2954;2955;2956;2957;2958;2952;2910;2951;2902;3006;3015;3016;3019;3020;3022;2959;2942;2934;2935;2936;2937;2938;2939;2953;2941;2999;2943;2944;2945;2946;2948;2949;2950;2940;2898;3084;3083;2546;3082;3065;3028;3039;3036;3037;3177;3187;3186;3185;3184;3747;3183;3182;3785;3787;3788;3179;3821;3178;3695;3799;3800;3400;3175;3173;3805;3807;3809;3813;3814;3628;3676;3151;3643;3204;3203;3202;3201;3200;3199;3668;3198;3197;3697;3674;3696;3680;3196;3682;3684;3195;3687;3194;3689;3193;3693;3694;3822;3672;3161;3842;3843;3844;3845;3846;3867;3870;3874;3875;3876;3877;3172;3879;3838;3160;3159;3887;3892;3156;3902;3903;3923;3154;3153;3152;3878;4570;3171;3824;3825;3827;3170;3169;3168;3167;3166;3165;3164;3841;4567;3840;3162;4714;4715;4716;4717;4724;4725;4728;3833;3835;3619;3163;3320;3446;3345;3344;3343;3341;3339;3336;3335;3334;3333;3308;3330;3443;3319;3318;3317;3316;3315;3314;3313;3312;3311;3310;3205;3429;3401;3398;3397;3396;3395;3394;3393;3361;3355;3351;3347;3445;3427;3444;3430;3431;3433;3434;3436;3437;3438;3439;3440;3441;3442;3307;3425;3573;3243;3530;3537;3540;3541;3543;3544;3545;3546;3547;3242;3309;3570;3278;3574;3575;3576;3577;3578;3579;3580;3587;3588;3217;3615;3569;3298;3306;3305;3487;3488;3304;3490;3303;3302;3301;3505;3506;3244;3299;3527;3297;3296;3295;3294;3292;3291;3290;3289;3287;3519;3286;3174;3300;4029;4007;3146;3145;3144;3143;3142;3933;4005;3176;4003;4030;4031;4032;4033;3139;4035;4036;3138;3140;3993;3148;3147;3986;3989;4006;3992;4041;3994;3995;3996;3997;3999;4000;4001;4002;3990;4121;3130;4086;3129;3128;3127;4095;3125;4116;4038;4120;3133;4138;4139;4140;4141;4142;4143;4144;4145;4119;4051;3141;4042;4043;4044;4045;4046;4047;4048;3131;3137;3132;3136;4053;4057;3135;4060;4063;4071;3134;4040;4049;3149;3934;3944;3150;4553;4526;4235;4604;4236;4602;4237;4594;4580;4561;4558;4612;4554;4613;4552;4551;4550;4547;4545;4544;4543;4542;4541;4531;4205;4555;4672;4741;4735;4734;4733;4729;4706;4705;4701;4210;4693;4611;4213;4525;4661;4219;4220;4222;4641;4640;4629;4628;4227;4233;4359;4527;4280;4441;4437;4422;4414;4412;4411;4408;4406;4277;4362;4449;4357;4356;4349;4348;4292;4294;4338;4336;4298;4299;4302;4373;4267;4523;4522;4521;4520;4263;4511;4500;4499;4498;4497;4443;4266;4252;4268;4269;4484;4271;4272;4274;4467;4466;4464;4275;4276;4264;4191;4769;4797;4846;4184;4796;4189;4785;4784;4757;963;958;959;962;132;965;241;242;561;960;183;413;415;410;416;4852;1022;4851;419;1015;4850;310;315;318;1629;1646;1593;1610;1612;1613;1620;1621;1622;1623;1590;1627;1587;1632;1637;1639;1640;1641;1642;1643;1644;1778;1626;1560;1542;1544;1546;1547;1548;1549;1550;1551;1552;1592;1559;1647;1565;1566;1567;1570;1571;1572;1573;1574;1579;1553;1749;1645;1739;1740;1741;1742;1743;1744;1745;1746;1730;1748;1728;1750;1751;1755;1769;1771;1774;1776;1777;1747;1713;1649;1654;1688;1689;1690;1702;1704;1707;1708;1738;1712;1538;1714;1715;1716;1717;1718;1719;1722;1723;1725;1709;1098;1541;1184;1200;1097;1244;1245;1256;1264;1302;1311;1317;1321;1333;2089;2090;3061;3062;3700;3701;1117;1519;1126;1334;1391;1332;1327;1113;1163;1164;1336;1450;1431;1432;1433;1434;1437;1438;1441;1442;1444;1349;1449;1426;1466;1467;1476;1481;1485;1522;1536;1537;1545;1445;1406;1540;1394;1395;1396;1397;1398;1399;1400;1403;1430;1405;1429;1407;1408;1409;1416;1419;1422;1423;1424;1425;1350;1404;1852;1819;1888;1887;1964;1968;1870;1861;1858;1890;1853;1893;1851;1850;1849;1846;1844;1843;1835;1828;1857;1908;1948;1943;1936;1934;1920;1919;1917;1889;1912;1892;1907;1906;1905;1901;1900;1899;1897;1896;1543;14;1352;1353;1354;1355;1482;2913;1563;4534;3664;4135;1731;4581;2101;2072;3003;4469;4630;2694;4468;2765;3880;4754;3390";
Aachen;1186;
Aarau;"743;744;745;746";
Aarau u. Thun;"1486;1487;1488;747;748";
Alethinopel;3071;
Altona;"4515;4696;3820;2607;4697;1253;4743;3671;1706;1727;4514;4513;4516;1453;3915;4155;3795;13";
Amberg;"2646;2649;2650;2644;2645";
Amsterdam;37;
Amsterdam u. Leipzig;"4012;4295;38";
"Anclam; Swinemünde";2678;
Aschaffenburg;"1618;1691;1692";
Augsburg;"1180;1182;3826;3636;1305;4480;2009;2010;2013;3601;3612;2196;2197;2198;2199;4229;4536;4535;4495;2807;3829;3830;3831;2877;4169;4240;4241";
Baden;4524;
Baireuth;2810;
Bamberg;"1181;4146;1786";
"Bamberg; Würzburg";1787;
"Barmen; M. Gladbach";4749;
